Algorithm,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score
KMeans,0.40131787927620766,1488.1379603162766,0.8924269398296975
AgglomerativeClustering,0.36235966020932364,1329.8953025405128,0.9776799768935522
DBSCAN,0.07429256205288952,165.98882190583276,2.221327897321342
