algorithm_name,train_or_test_data,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
Logistic Regression,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC Linear,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC Linear,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC RBF,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC RBF,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=1),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=1),test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=3),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=3),test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=5),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=5),test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0
"Neural Network (hidden_layer_sizes=(5,))",train,0.9809027777777778,1.0,1.0,0.9857651245551602,0.9405940594059405,0.9815897959902752,1.0,0.968421052631579,0.9685314685314685,0.986159169550173,0.9807779226783051,1.0,0.983957219251337,0.9770723104056437,0.9628378378378378,0.9809668418737046,1.0,0.9997369432809243,0.9992126810833508,0.9981476061217208,0.999274307621499
"Neural Network (hidden_layer_sizes=(5,))",test,0.9756944444444444,1.0,1.0,0.9864864864864865,0.9210526315789473,0.9768847795163584,1.0,0.9333333333333333,0.9864864864864865,0.9859154929577465,0.9764338281943916,1.0,0.9655172413793104,0.9864864864864865,0.9523809523809523,0.9760961700616873,1.0,0.9998122065727699,0.9996842637029553,0.9989615110014928,0.9996144953193045
"Neural Network (hidden_layer_sizes=(5,5))",train,0.9973958333333334,1.0,1.0,1.0,0.9897260273972602,0.997431506849315,1.0,1.0,0.9895104895104895,1.0,0.9973776223776224,1.0,1.0,0.9947275922671354,0.9948364888123924,0.9973910202698819,1.0,1.0,0.9999838498683764,0.9999839619577637,0.9999919529565351
"Neural Network (hidden_layer_sizes=(5,5))",test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Neural Network (hidden_layer_sizes=(5,5,5))",train,0.9973958333333334,1.0,1.0,1.0,0.9897260273972602,0.997431506849315,1.0,1.0,0.9895104895104895,1.0,0.9973776223776224,1.0,1.0,0.9947275922671354,0.9948364888123924,0.9973910202698819,1.0,1.0,0.9999838498683764,0.9999839619577637,0.9999919529565351
"Neural Network (hidden_layer_sizes=(5,5,5))",test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Neural Network (hidden_layer_sizes=(10,))",train,0.9973958333333334,1.0,1.0,1.0,0.9897260273972602,0.997431506849315,1.0,1.0,0.9895104895104895,1.0,0.9973776223776224,1.0,1.0,0.9947275922671354,0.9948364888123924,0.9973910202698819,1.0,1.0,0.9999878874012823,0.999991980978882,0.999994967095041
"Neural Network (hidden_layer_sizes=(10,))",test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
