Timestamp,HT R Phase Current,Current_Winsorized,Current_Imputed,Current_Smooth
2019-07-30 07:50:00,14.44,0.0,14.44,13.524000000000001
2019-07-30 07:55:00,15.82,0.0,15.82,14.522
2019-07-30 08:00:00,17.89,0.0,17.89,15.425999999999998
2019-07-30 08:05:00,19.32,0.0,19.32,16.346
2019-07-30 08:10:00,21.5,0.0,21.5,17.794
2019-07-30 08:15:00,24.42,0.0,24.42,19.79
2019-07-30 08:20:00,28.08,0.0,28.08,22.241999999999997
2019-07-30 08:25:00,30.37,0.0,30.37,24.738
2019-07-30 08:30:00,30.89,0.0,30.89,27.052
2019-07-30 08:35:00,29.43,0.0,29.43,28.637999999999998
2019-07-30 08:40:00,28.12,0.0,28.12,29.377999999999997
2019-07-30 08:45:00,27.59,0.0,27.59,29.28
2019-07-30 08:50:00,24.17,0.0,24.17,28.04
2019-07-30 08:55:00,20.65,0.0,20.65,25.992
2019-07-30 09:00:00,19.26,0.0,19.26,23.958000000000002
2019-07-30 09:05:00,18.14,0.0,18.14,21.962
2019-07-30 09:10:00,17.87,0.0,17.87,20.018
2019-07-30 09:15:00,18.11,0.0,18.11,18.806
2019-07-30 09:20:00,19.53,0.0,19.53,18.582
2019-07-30 09:25:00,22.27,0.0,22.27,19.184
2019-07-30 09:30:00,25.89,0.0,25.89,20.734
2019-07-30 09:35:00,29.93,0.0,29.93,23.145999999999997
2019-07-30 09:40:00,33.45,0.0,33.45,26.214
2019-07-30 09:45:00,33.77,0.0,33.77,29.062
2019-07-30 09:50:00,31.81,0.0,31.81,30.97
2019-07-30 09:55:00,35.7,0.0,35.7,32.932
2019-07-30 10:00:00,44.8,0.0,44.8,35.906000000000006
2019-07-30 10:05:00,50.51,0.0,50.51,39.318
2019-07-30 10:10:00,44.51,0.0,44.51,41.465999999999994
2019-07-30 10:15:00,44.05,0.0,44.05,43.914
2019-07-30 10:20:00,36.66,0.0,36.66,44.105999999999995
2019-07-30 10:25:00,26.42,0.0,26.42,40.42999999999999
2019-07-30 10:30:00,28.48,0.0,28.48,36.023999999999994
2019-07-30 10:35:00,39.84,0.0,39.84,35.089999999999996
2019-07-30 10:40:00,42.84,0.0,42.84,34.848
2019-07-30 10:45:00,49.99,0.0,49.99,37.514
2019-07-30 10:50:00,54.29,0.0,54.29,43.088
2019-07-30 10:55:00,57.75,0.0,57.75,48.94200000000001
