algorithm_name,train_or_test_data,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
Logistic Regression,train,0.8637152777777778,0.8596491228070176,0.7943262411347518,0.8419243986254296,0.95578231292517,0.8629205188730922,0.839041095890411,0.7859649122807018,0.8566433566433567,0.972318339100346,0.8634919259787038,0.8492201039861352,0.7901234567901234,0.8492201039861352,0.9639794168096055,0.8631357703929998,0.9713921631092705,0.9466278152127723,0.960730954957283,0.9971372094608411,0.9689720356850416
Logistic Regression,test,0.8611111111111112,0.8051948051948052,0.8813559322033898,0.8148148148148148,0.9577464788732394,0.8647780077715623,0.9117647058823529,0.6933333333333334,0.8918918918918919,0.9577464788732394,0.8636841024952044,0.8551724137931035,0.7761194029850746,0.8516129032258064,0.9577464788732394,0.860162799719306,0.9794117647058823,0.9573708920187793,0.9753094215711038,0.9992860388135263,0.977844529277323
SVC Linear,train,0.8645833333333334,0.8687943262411347,0.7985865724381626,0.8361774744027304,0.9523809523809523,0.863984831365745,0.839041095890411,0.7929824561403509,0.8566433566433567,0.9688581314878892,0.864381260040502,0.8536585365853658,0.795774647887324,0.846286701208981,0.9605488850771869,0.8640671926897144,0.9706196240841032,0.94617859527712,0.9608197806812125,0.9969808385490384,0.9686497096478686
SVC Linear,test,0.8645833333333334,0.8133333333333334,0.8813559322033898,0.8192771084337349,0.9577464788732394,0.8679282132109244,0.8970588235294118,0.6933333333333334,0.918918918918919,0.9577464788732394,0.8667643886637258,0.8531468531468531,0.7761194029850746,0.8662420382165605,0.9577464788732394,0.863313693305432,0.9789438502673797,0.9561189358372457,0.976256630462238,0.9991562276887129,0.9776189110638941
SVC RBF,train,0.8645833333333334,0.875,0.8100358422939068,0.8211920529801324,0.9518900343642611,0.8645294824095751,0.839041095890411,0.7929824561403509,0.8671328671328671,0.9584775086505191,0.864408481953537,0.8566433566433567,0.8014184397163121,0.8435374149659864,0.9551724137931035,0.8641929062796897,0.9724076138897738,0.946125983933305,0.9600243866987516,0.9964555926658034,0.9687533942969084
SVC RBF,test,0.8715277777777778,0.8309859154929577,0.8852459016393442,0.8045977011494253,0.9855072463768116,0.8765841911646347,0.8676470588235294,0.72,0.9459459459459459,0.9577464788732394,0.8728348709106787,0.8489208633093526,0.7941176470588235,0.8695652173913043,0.9714285714285714,0.8710080747970129,0.9790106951871658,0.9596870109546166,0.9776458701692347,0.9989615110014929,0.9788262718281275
Random Forest (min_samples_leaf=1),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=1),test,0.84375,0.7894736842105263,0.8448275862068966,0.8227848101265823,0.92,0.8442715201360014,0.8823529411764706,0.6533333333333333,0.8783783783783784,0.971830985915493,0.8464739097009188,0.8333333333333334,0.7368421052631579,0.8496732026143791,0.9452054794520548,0.8412635301657313,0.9681483957219251,0.9176525821596244,0.964258651174539,0.9975335886285455,0.9618983044211586
Random Forest (min_samples_leaf=3),train,0.9114583333333334,0.916955017301038,0.867595818815331,0.8885017421602788,0.972318339100346,0.9113427293442484,0.9075342465753424,0.8736842105263158,0.8916083916083916,0.972318339100346,0.911286296952599,0.9122203098106713,0.8706293706293706,0.8900523560209425,0.972318339100346,0.9113050938903327,0.9942696718700224,0.9881826827738319,0.9915777063583067,0.999390554395025,0.9933551538492964
Random Forest (min_samples_leaf=3),test,0.8611111111111112,0.8157894736842105,0.8813559322033898,0.8148148148148148,0.9444444444444444,0.8641011662867149,0.9117647058823529,0.6933333333333334,0.8918918918918919,0.9577464788732394,0.8636841024952044,0.8611111111111112,0.7761194029850746,0.8516129032258064,0.951048951048951,0.8599730920927358,0.9723262032085561,0.9303912363067294,0.969626168224299,0.9982475498150192,0.967647789388651
