,R-squared-11,MSE-11,Durbin-Watson-11,Jarque-Bera-11,JB P-value-11
Linear Regression,0.9932710037873325,0.0803091818782564,1.4615151663364734,24.368773860225343,5.109612797450489e-06
SVM Regression,0.9116015957077868,1.0550167222098479,0.11234503377369678,36.18942616257164,1.3853705689583839e-08
RandomForest,0.9990406520262165,0.011449620192396273,2.940958557433908,1.3879844781558999,0.49957764922169334
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9852013575037479,0.17661874583098616,0.6640116723321138,407.46656849861574,3.3094732149526116e-89
