,R-squared-24,MSE-24,Durbin-Watson-24,Jarque-Bera-24,JB P-value-24
Linear Regression,0.9944491895511148,0.06624777779961354,1.7676158466487932,2.53979042282742,0.2808610512689218
SVM Regression,0.9044693848563312,1.140138187635157,0.10397753228464603,44.4600610918615,2.216258434184647e-10
RandomForest,0.9990149260251023,0.01175665470945969,2.9475638740400685,1.2559414493631114,0.5336736737410459
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9932529974518894,0.0805240837777893,1.453717154494328,4.308437500757229,0.11599377531668784
