,R-squared-3,MSE-3,Durbin-Watson-3,Jarque-Bera-3,JB P-value-3
Linear Regression,0.9058223577201393,1.1239907355692218,0.10565691300306856,16.909650988441737,0.00021287072652629834
SVM Regression,0.9170779290333626,0.9896578135153106,0.11979468942531875,27.7465842261098,9.438561054803156e-07
RandomForest,0.9990194938189856,0.01170213903161375,2.9195890835115534,2.101679505498699,0.34964401127507755
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9924724940621319,0.08983923074824532,1.3025022903194727,3.0264199399926373,0.22020200045941876
