,R-squared-13,MSE-13,Durbin-Watson-13,Jarque-Bera-13,JB P-value-13
Linear Regression,0.9938154609159452,0.07381119834776133,1.5887608756875462,11.086997135668232,0.00391281362010883
SVM Regression,0.9103016890418456,1.070530840149653,0.11072893924016755,37.16840168418382,8.491494325062942e-09
RandomForest,0.9990043464428062,0.011882919842022853,2.9143145656503804,1.2770914605404573,0.5280598073099553
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.99359639325083,0.07642572574610718,1.534824472947605,4.305891001765935,0.11614155839500792
