,R-squared-30,MSE-30,Durbin-Watson-30,Jarque-Bera-30,JB P-value-30
Linear Regression,0.9945264520815692,0.06532566543477888,1.7939929779848587,1.179017960915091,0.5545995370993733
SVM Regression,0.9020390869270101,1.1691432921493747,0.10142642724908935,48.45192832261845,3.0116010921010636e-11
RandomForest,0.9990026290368128,0.011903416728323289,2.915164324347311,2.642228837723657,0.2668377671666686
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9930487532674754,0.08296169599145078,1.410662029610362,0.5954520288808769,0.7425047474598239
