,R-squared-27,MSE-27,Durbin-Watson-27,Jarque-Bera-27,JB P-value-27
Linear Regression,0.9944722539459832,0.06597250900411372,1.775088064657921,2.1057764603480664,0.3489285065091882
SVM Regression,0.9032197130040649,1.155052763435164,0.10265145885556615,46.7383213658316,7.094184330530402e-11
RandomForest,0.9990427160780452,0.01142498615955181,2.950601787936278,0.4131452395523207,0.8133671927687345
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9936966136380423,0.07522961609614405,1.5544804880588787,9.77350600062002,0.007545884223591213
