,R-squared-28,MSE-28,Durbin-Watson-28,Jarque-Bera-28,JB P-value-28
Linear Regression,0.9944698422479838,0.06600129212229947,1.7747025244713073,2.2292852728536365,0.32803248481667235
SVM Regression,0.9028459110849413,1.1595140122396783,0.10226016824117404,47.25417565136299,5.481332329621735e-11
RandomForest,0.9990158115550736,0.011746086091902194,2.9250421860311584,0.535158609727935,0.7652296417837519
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9819626347803388,0.21527223351728653,0.5443881552930208,600.6102884899296,3.794311370202712e-131
