,R-squared-8,MSE-8,Durbin-Watson-8,Jarque-Bera-8,JB P-value-8
Linear Regression,0.9901241639918608,0.1178660657713574,0.9958610340732199,27.47911933236717,1.0789095895275648e-06
SVM Regression,0.9144864964855488,1.0205860264656794,0.11609373735980749,33.726079004003786,4.747609565237964e-08
RandomForest,0.9990199268486215,0.011696970912226021,2.966736303420312,4.251004867384801,0.11937297619176092
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9924680719202292,0.0898920080997438,1.3050667926671267,14.951897990328865,0.0005665478612626412
