,R-squared-10,MSE-10,Durbin-Watson-10,Jarque-Bera-10,JB P-value-10
Linear Regression,0.9929874828753446,0.0836929454839284,1.403680969573178,28.853427111122283,5.42697612296697e-07
SVM Regression,0.912128493512208,1.0487283055917993,0.11299310897943192,36.43700274173561,1.224067553193257e-08
RandomForest,0.9990308063365152,0.011567126468213939,2.910984453713076,3.2835385053242407,0.1936371460091962
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9941945905179788,0.06928636474660373,1.689439966305226,4.937587896824122,0.08468693424671199
