,R-squared-6,MSE-6,Durbin-Watson-6,Jarque-Bera-6,JB P-value-6
Linear Regression,0.9762610467508822,0.2833195106417006,0.4170860638129155,11.050745141198286,0.003984383951244137
SVM Regression,0.9176999304728478,0.9822343546288095,0.12061743037215213,28.43427984357875,6.692287401100234e-07
RandomForest,0.9990036227683298,0.011891556747635592,2.95901620386011,3.8380253681997485,0.14675178099435005
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9598253285994336,0.47947641675492153,0.245639199964839,209.8587150860799,2.690041805809619e-46
