,R-squared-32,MSE-32,Durbin-Watson-32,Jarque-Bera-32,JB P-value-32
Linear Regression,0.9933215940463532,0.07970539757156943,1.475112777309553,0.26096265219857145,0.8776728823719758
SVM Regression,0.9013128142906126,1.1778112062640909,0.10068377201007836,49.536569687181654,1.7509371858226748e-11
RandomForest,0.9990416667785906,0.011437509332113488,2.9484268751233373,0.25111143214385273,0.8820066211136679
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9931432323911317,0.08183410713783885,1.4377049394505743,1.6682955407218973,0.43424439973097584
