,R-squared-18,MSE-18,Durbin-Watson-18,Jarque-Bera-18,JB P-value-18
Linear Regression,0.9943188595567212,0.06780323940089229,1.727637239755402,3.98999056264069,0.13601429597322612
SVM Regression,0.9069327343548126,1.1107386194602138,0.10672089766317736,41.1199444778574,1.1773823160624587e-09
RandomForest,0.9990121646611333,0.011789611018872251,2.95837235333513,0.9239322915929956,0.6300436692074602
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9930795390033921,0.08259427458313853,1.41555086133677,25.32263495064645,3.1714632759845203e-06
