,R-squared-38,MSE-38,Durbin-Watson-38,Jarque-Bera-38,JB P-value-38
Linear Regression,0.9929150661624059,0.08455722401620983,1.392004012079809,0.17573948251469157,0.91588017035305
SVM Regression,0.899569211676453,1.1986207438293432,0.09893973450630365,51.263800096571174,7.382564471705851e-12
RandomForest,0.9990269971079496,0.01161258882545424,2.958131614098081,0.8668142077304982,0.6482965140587407
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9708670403021621,0.3476958650416727,0.337537419313487,1096.115403432638,9.584387852055885e-239
