,R-squared-9,MSE-9,Durbin-Watson-9,Jarque-Bera-9,JB P-value-9
Linear Regression,0.991960629070691,0.09594823384403392,1.2230538836004,45.009090533829934,1.684225245356451e-10
SVM Regression,0.9135819686880309,1.0313813791615332,0.11488628499641489,34.071263399557225,3.995021832556943e-08
RandomForest,0.9989980279765414,0.011958329433649849,2.9460086599712145,2.2076374934434355,0.33160235735254023
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9936433383292708,0.07586544591778849,1.5421312815140888,20.989074349234066,2.7687287791129196e-05
