,R-squared-1,MSE-1,Durbin-Watson-1,Jarque-Bera-1,JB P-value-1
Linear Regression,0.8336742944949322,1.9850629889328695,0.059761089529152586,51.46650647451434,6.670987358093394e-12
SVM Regression,0.9030486543938709,1.1570943126653523,0.10269935143773892,45.29204618221037,1.462032862485568e-10
RandomForest,0.9990144918625317,0.011761836350190735,2.971000189248211,0.3524831533548076,0.8384154172596534
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958533935783659,0.04948889236490567,2.5044096401628306,0.7980370676495877,0.6709782654445916
Neural Network,0.9935397722437677,0.0771014857867713,1.5157220118267902,0.29416555415391565,0.8632225194218963
