,R-squared-34,MSE-34,Durbin-Watson-34,Jarque-Bera-34,JB P-value-34
Linear Regression,0.9937381463080138,0.07473393224654415,1.5690856566888682,0.44272782891761653,0.8014249770790972
SVM Regression,0.9008838346686745,1.1829309895707654,0.10025132035332436,49.400965463212636,1.873771587398578e-11
RandomForest,0.9990335950603473,0.011533843624478547,2.9407810520634383,2.3861256622106115,0.30329091120037227
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9936290006817936,0.07603656278315199,1.5379254608728925,36.99294948557966,9.27007151442151e-09
