,R-squared-25,MSE-25,Durbin-Watson-25,Jarque-Bera-25,JB P-value-25
Linear Regression,0.9944590668209681,0.06612989462119664,1.771676761117334,2.4788920476154805,0.28954457431891195
SVM Regression,0.9038899639954867,1.1470534560982326,0.10335698094705006,45.81213868578517,1.1272506185547243e-10
RandomForest,0.9990321111253987,0.011551554082014224,2.904730492908037,1.676270662518612,0.4325162715403398
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9936912664167146,0.07529343407977482,1.5506419708202912,6.245453857205587,0.04403691900441178
