,R-squared-22,MSE-22,Durbin-Watson-22,Jarque-Bera-22,JB P-value-22
Linear Regression,0.9944164956600016,0.06663797264662338,1.7575548233817402,2.414035137030624,0.2990879599212683
SVM Regression,0.9050987228929639,1.1326271679749451,0.10465855649283497,43.75577840846749,3.1517622022679075e-10
RandomForest,0.9989982160529471,0.01195608478054009,2.928496861890779,7.054658713124137,0.029383283447654
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9930742303216299,0.08265763260500436,1.416076615420787,13.309728528866648,0.0012877429239429791
