,R-squared-16,MSE-16,Durbin-Watson-16,Jarque-Bera-16,JB P-value-16
Linear Regression,0.9940347493993191,0.07119403552904484,1.6471604357533525,6.298362135517551,0.04288723422864973
SVM Regression,0.9076252296756857,1.1024738306393866,0.10752769210151782,40.97341066818107,1.2668842034137797e-09
RandomForest,0.9990071647028334,0.011849284489893135,2.9622994130656726,1.074590041041826,0.5843267083211557
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9629314363724106,0.44240566114892405,0.26567517823818326,236.43633016856774,4.555155877930963e-52
