,R-squared-35,MSE-35,Durbin-Watson-35,Jarque-Bera-35,JB P-value-35
Linear Regression,0.9937445959623719,0.07465695695208359,1.5679212734477257,0.4253596540322561,0.8084149284051382
SVM Regression,0.9006489667748278,1.1857340894400727,0.1000146072518244,49.680047016017156,1.6297269980393624e-11
RandomForest,0.9990453034120698,0.011394106861630882,2.9279032502092273,0.15527204187227053,0.9253011555070497
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9940944155286633,0.07048193258203249,1.659214989691341,0.5269478617237469,0.7683776531213086
