,R-squared-23,MSE-23,Durbin-Watson-23,Jarque-Bera-23,JB P-value-23
Linear Regression,0.9944107181800564,0.06670692567810763,1.755586128233272,2.418357665643391,0.29844224981546935
SVM Regression,0.9047315448052977,1.137009362717243,0.10426016192018865,44.40608140443202,2.276889433028303e-10
RandomForest,0.9989971949198273,0.011968271793706426,2.9019000971610214,4.892949726706948,0.0865983199815159
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9936068423638743,0.07630101773715307,1.535782728108745,1.8798466275832904,0.39065779227471903
