,R-squared-33,MSE-33,Durbin-Watson-33,Jarque-Bera-33,JB P-value-33
Linear Regression,0.9931340625438657,0.08194354737358893,1.4374513911304667,0.2864069096507818,0.8665777415356795
SVM Regression,0.901023223857972,1.1812674083468555,0.10039054598229431,49.36492514051506,1.9078433208072346e-11
RandomForest,0.9990299290473306,0.0115775967336826,2.9276263218060636,1.6309631000828602,0.44242622568859924
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9932239606658322,0.08087063183026785,1.4464599822963036,27.27769227573745,1.1932306017211492e-06
