,R-squared-19,MSE-19,Durbin-Watson-19,Jarque-Bera-19,JB P-value-19
Linear Regression,0.9943801337021213,0.06707194511392174,1.745432250609071,2.71664292869351,0.25709195298940063
SVM Regression,0.9064386291647093,1.1166356629901675,0.10614684068277998,41.72662793265483,8.693163947319555e-10
RandomForest,0.998992575869048,0.012023399212034509,2.925470463396661,5.035618860899973,0.08063605230165333
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9925957133824121,0.08836863357586575,1.3306504577149916,2.5170637116875487,0.2840707773514725
