,R-squared-7,MSE-7,Durbin-Watson-7,Jarque-Bera-7,JB P-value-7
Linear Regression,0.9864846767335999,0.1613025955195896,0.7302961596063403,46.897695893080815,6.550805874763476e-11
SVM Regression,0.9161438977756499,1.0008052839232173,0.11837800497245499,30.47827800983359,2.408385596446395e-07
RandomForest,0.9990281085031403,0.01159932455308865,2.961257379937187,1.771991301385265,0.4123034586246592
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9882734901483327,0.13995347637465633,0.8368810273886811,164.0189487934924,2.4195678528969902e-36
