,R-squared-15,MSE-15,Durbin-Watson-15,Jarque-Bera-15,JB P-value-15
Linear Regression,0.9940316884785402,0.07123056698719743,1.6462439182381432,6.507062832973815,0.03863752144524785
SVM Regression,0.9086085055737275,1.090738635606331,0.10868247059966606,39.78477562150635,2.2953332184404577e-09
RandomForest,0.9989930291289258,0.012017989648881823,2.9227231996753895,1.5155380331085255,0.4687109477877376
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9836451013046621,0.19519234257432627,0.6023507034848589,4.09467418768464,0.12907816939474862
