,R-squared-39,MSE-39,Durbin-Watson-39,Jarque-Bera-39,JB P-value-39
Linear Regression,0.993061774592076,0.0828062891681167,1.4198084241744646,0.33232534576978284,0.8469084539417067
SVM Regression,0.899394642478135,1.2007041912046983,0.09876701234495526,51.442233937820006,6.752441525857925e-12
RandomForest,0.9990468363919702,0.011375811062710073,2.922001904928549,0.16807365904267668,0.9193973945056161
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9832820930187344,0.19952477159293733,0.5886484206646664,50.945207414069465,8.65742564624088e-12
