,R-squared-17,MSE-17,Durbin-Watson-17,Jarque-Bera-17,JB P-value-17
Linear Regression,0.9942759965213548,0.0683148008870789,1.715607096594501,4.106664571286339,0.1283066360679523
SVM Regression,0.9074842211396306,1.1041567384328446,0.10736626694841003,41.12525193777695,1.1742620034009893e-09
RandomForest,0.9990139444021581,0.011768370176830578,2.909044456526274,3.2528646689952536,0.19662983371264428
XGBoost,0.9971462940211645,0.034058392253206324,2.3729179602272388,1.0468586728390807,0.5924852288944623
knn,0.9958949049063305,0.04899346322775728,2.5052311118814985,0.7333035619673595,0.6930509365461929
Neural Network,0.9915413413466854,0.10095234634793178,1.1609457859955452,4.767784542701066,0.09219104570060792
