feature,VIF
c3,20.908083446769783
c4,31.770277200126472
c6,3.1844675489564334
c8,6.834465425667244
c9,9.262588123358869
c11,3.8461719097853138
c12,3.3088701987545357
c13,8.425918279901644
c15,10.58338295018169
c16,15.740615875480582
c17,16.735311185357062
c18,20.74073593919781
c19,15.894745441580945
c20,6.312371687283408
c21,5.5128190449394125
c22,7.134350365166555
c23,9.635966782034496
c26,4.89302925138496
c28,14.264668691869971
c31,71.8730903642119
c32,6.69575141612071
c38,13.376822334342005
c40,19.49412121662921
c42,5.396488206935987
c43,16.474168130517896
c44,5.143791316384315
c45,3.3854950744794756
c47,21.141367177718433
c50,36.34083118915577
c51,6.7189756639011895
c52,14.125041250244779
c53,20.15609697141661
c58,7.809355324117774
c59,14.310663910848369
c60,8.338311319681509
c62,9.553163352021315
c63,5.777032864256276
c65,13.280137280759574
c66,38.26149780584213
c67,16.745675455470877
c68,6.909933935233809
c70,10.594827310820994
c72,10.243565667628474
c73,3.9160608943948154
c95,13.651577594382356
c100,9.453406021139017
